,Marca,Gasolina 95,Gasolina 98,Gasóleo A,Direccion,Poblacion,Horario,Fecha
11698,REPSOL,1.005,1.125,0.869,"CALLE GREGORIO MARAÑON, S/N",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:43:08.897880
11699,BP COOPERATIVA TAXIS S. CRISTOBAL,1.034,1.164,0.934,"CALLE DIEGO VEGA SARMIENTO, 70",PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:43:15.115612
11700,DISA,1.039,1.201,0.949,CARRETERA GENERAL DEL CENTRO KM. 146,PALMAS DE GRAN CANARIA (LAS),L-J 06,2019-04-15 15:43:27.314346
11701,CEPSA HOYA PARRADO,1.006,1.155,0.923,CARRETERA GC 800 KM. S/N,PALMAS DE GRAN CANARIA (LAS),L-S 06,2019-04-15 15:43:37.035373
11702,BP LA PATERNA,1.039,1.169,0.939,CARRETERA CTRA. GRAL. DEL NORTE KM. 185,PALMAS DE GRAN CANARIA (LAS),L-D 24H,2019-04-15 15:43:47.226098
11703,CEPSA LA MARINA,1.019,1.14,0.929,"MUELLE MUELLE DEPORTIVO DE LAS PALMAS, S/N",PALMAS DE GRAN CANARIA (LAS),L-V 08,2019-04-15 15:43:56.731543
11704,REPSOL,0.985,1.105,0.895,"AUTOVIA GC-1 KM. 12,000",TELDE,L-D 06,2019-04-15 15:44:05.704382
11705,BP LAS TERRAZAS,1.014,1.169,0.919,"PARQUE MARITIMO DE JINAMAR C.C. LAS TERRAZAS, S/N",JINAMAR,L-D 07,2019-04-15 15:44:15.840010
11706,CEPSA,0.993,1.139,0.906,AUTOVIA GC-1 KM. 17,TELDE,L-D 24H,2019-04-15 15:44:23.894303
11707,"CEPSA OPER CANARIOS S,L.",0.993,1.104,0.909,CARRETERA GENERAL DEL SUR KM 13 KM. 13,TELDE,L-D 24H,2019-04-15 15:44:32.190523
11708,DISA CUATRO PUERTAS,0.991,1.131,0.905,CARRETERA GENERAL DEL GORO KM. S/N,GORO (EL),L-D 24H,2019-04-15 15:44:41.214196
11709,OCÉANO,0.99,1.11,0.896,"CALLE ALEGRIA, 2",GARITA (LA),L-D 24H,2019-04-15 15:44:55.533131
11710,BP LA GARITA,0.999,1.169,0.899,AUTOVIA GC-1 SUR LAS PALMAS KM. 8,GARITA (LA),L-D 24H,2019-04-15 15:45:12.207131
11711,DISA BOCABARRANCO,0.99,1.11,0.896,"CALLE ALEGRIA, 35",SAN ANTONIO,L-D 24H,2019-04-15 15:45:27.314998
11712,DISA LA PARDILLA,0.983, ,0.889,AUTOPISTA AUTOPOISTA GC-1 KM. 8,PARDILLA (LA),L-D 06,2019-04-15 15:45:45.173825
11713,DISA JINAMAR,0.999,1.114,0.867,"AVENIDA SANTA RITA DE CASIA, S/N",JINAMAR,L-D 24H,2019-04-15 15:45:45.351150
11714,BP JINAMAR,1.014,1.169,0.919,CARRETERA DE JINAMAR KM. S/N,JINAMAR,L-D 24H,2019-04-15 15:45:52.461955
11715,CEPSA,0.999,1.113,0.906,"CALLE SHAKESPEARE, 1",TELDE,L-D 06,2019-04-15 15:45:59.481189
11716,REPSOL,0.999,1.119,0.859,"CARRETERA GC-300 KM. 7,6",TELDE,L-D 06,2019-04-15 15:46:12.395194
11717,CEPSA,0.993,1.146,0.906,AUTOVIA GC-1 (AEROPUERTO DE GRAN CANARIA ) KM. 16,TELDE,L-D 06,2019-04-15 15:46:22.415780
11718,DISA CRUCE DE MELENARA,0.995,1.255,0.909,"CALLE CRUCE MELENARA, S/N",TELDE,L-D 24H,2019-04-15 15:46:27.471708
11719,DISA EL ROQUE,0.999,1.129,0.909,"LUGAR EL ROQUE, 86",TELDE,L-D 06,2019-04-15 15:46:34.912381
11720,DISA PUNTO FIELATO,0.995,1.255,0.909,"CALLE REYES CATOLICOS, 2",TELDE,L-D 24H,2019-04-15 15:46:42.009317
11721,SHELL TELDE,0.999,1.129,0.919,"AVENIDA DE LA CONSTITUCION, 1",TELDE,L-D 06,2019-04-15 15:46:47.464288
11722,COOP.TAXIS.TELDE,0.999, ,0.918,"CALLE CANOVAS DEL CASTILLO, 114",TELDE,L-D 24H,2019-04-15 15:46:56.225840
11723,CEPSA EL CUBILLO,0.999,1.116,0.909,"CALLE CUBILLO, 1",TELDE,L-J 06,2019-04-15 15:47:01.980799
11724,REPSOL,0.985,1.105,0.895,"CALLE VELAZQUEZ, 1",TELDE,L-D 24H,2019-04-15 15:47:07.525470
11725,REPSOL,0.999,1.119,0.909,"CALLE CL OBISPO VERDUGO, 39",TELDE,L-D 06,2019-04-15 15:47:17.541064
11726,REPSOL,0.985,1.105,0.895,CR GC-1 P.K. 8 M.I. (SALIDA A PARQ,TELDE,L-D 06,2019-04-15 15:47:24.651123
11727,BP EL CALERO,1.014,1.169,0.919,"CALLE CALLEJON DEL CASTILLO, 215",EL CALERO-TELDE,L-D 06,2019-04-15 15:47:31.761332
11728,SHELL,0.985,1.22,0.94,"AVENIDA DE CANARIAS, 197",SANTA LUCIA,L-D 24H,2019-04-15 15:47:37.396983
11729,DISA,1.107,1.202,1.035,"CALLE ROSIANA, 34",SANTA LUCIA,L 06,2019-04-15 15:47:42.587584
11730,BP SARDINA SUR,1.008,1.168,0.948,"CALLE FERNANDO GUANARTEME, 82",SANTA LUCIA,L-D 24H,2019-04-15 15:47:47.601795
11731,SHELL SANTA LUCIA,0.969,1.216,0.929,"AVENIDA DEL ATLANTICO, S/N",SANTA LUCIA,L-D 24H,2019-04-15 15:47:53.114818
11732,BP EL TARO,1.038,1.178,0.978,CL FRANCHY Y ROCA (EL DOCTORAL) S/N,SANTA LUCIA,L-D 24H,2019-04-15 15:47:57.758351
11733,REPSOL,0.975,1.105,0.929,"AVENIDA DEL ATLANTICO, S/N",VECINDARIO,L-D 24H,2019-04-15 15:48:02.788447
11734,BP DOCTORAL,1.019,1.169,0.959,"CALLE PEREZ GALDOS, 22",DOCTORAL (EL),L-D 24H,2019-04-15 15:48:10.119234
11735,REPSOL,0.975,1.105,0.929,"AVENIDA DE CANARIAS, 360",CASA PASTORES,L-D 06,2019-04-15 15:48:17.654077
11736,DISA LOS MARMOLES,1.046,1.179,1.017,"CARRER CARRETERA DE LOA MARMOLES, 138",ARRECIFE,L-D 06,2019-04-15 15:48:25.209340
11737,REPSOL,1.069,1.189,1.029,"CARRETERA CIRCUNVALACION KM. 4,5",ARRECIFE,L-D 06,2019-04-15 15:48:35.684110
11738,DISA ARRECIFE,1.046,1.179,1.017,"CALLE GARCIA ESCAMEZ, 1",ARRECIFE,L-D 06,2019-04-15 15:48:42.706712
11739,SHELL ARRECIFE II,1.058,1.189,1.012,"CALLE LEON Y CASTILLO, 194",ARRECIFE,L-D 07,2019-04-15 15:48:47.887756
11740,DISA AEROPUERTO,1.069,1.189,1.029,"CARRETERA ARRECIFE A AEROPUERTO KM. 1,6",ARRECIFE,L-D 06,2019-04-15 15:48:53.111788
11741,SHELL FLICK LANZAROTE,1.046,1.179,1.017,"CALLE BLAS CABRERA TOPHAN, 78",ARRECIFE,L-D 07,2019-04-15 15:49:02.741718
11742,DISA VALTERRA,1.046,1.179,1.017,"CL BENITO PEREZ GALDOS, 75",ARRECIFE,L-S 06,2019-04-15 15:49:11.197010
11743,CEPSA,1.059,1.169,1.019,CARRETERA SAN BARTOLOME KM. 44,ARRECIFE,L-D 07,2019-04-15 15:49:16.417659
11744,REPSOL,1.069,1.189,1.029,"CARRETERA CIRCUNVALACION KM. 4,5",ARRECIFE,L-D 06,2019-04-15 15:49:16.639431
11745,CEPSA,1.059,1.179,1.029,"ACCESO AEROPUERTO DE LANZAROTE-LADO TIERRA, SN",ARRECIFE,L-D 07,2019-04-15 15:49:22.775995
11746,REPSOL,1.069,1.189,1.029,"CALLE TENDERETE, S/N",ARRECIFE,L-D 24H,2019-04-15 15:49:32.500396
11747,DISA,1.069,1.189,1.029,"CALLE IGUAZU, S/N",ARRECIFE,L-D 24H,2019-04-15 15:49:38.325448
11748,DISA NUEVA AEROPUERTO,1.069,1.189,1.029,"CARRETERA ARRECIFE A AEROPUERTO KM. 1,4",ARRECIFE,L-D 06,2019-04-15 15:49:43.959498
11749,DISA CIRCUNVALACION I,1.072,1.189,1.031,"CARRETERA CIRCUNVALACIÒN KM. 0,370",ARRECIFE,L-D 07,2019-04-15 15:49:49.268862
11750,DISA CIRCUNVALACION II,1.072,1.189,1.031,"CARRETERA CIRCUNVALACIÒN KM. 0,370",ARRECIFE,L-D 07,2019-04-15 15:49:56.708353
11751,BP,1.046,1.179,1.017,CARRETERA LOS MARMOLES KM. 2,ARRECIFE,L-D 24H,2019-04-15 15:50:02.745026
11752,SHELL ARRECIFE I,1.058,1.189,1.012,"CALLE LEON Y CASTILLO, 194",ARRECIFE,L-D 24H,2019-04-15 15:50:12.432307
11753,REPSOL,1.069,1.189,1.029,"CARRETERA GARCIA ESCAMEZ 230 KM. 0,300",ARRECIFE,L-D 24H,2019-04-15 15:50:18.259475
11754,DISA MASPALOMAS,1.089,1.243,1.019,"CARRETERA AVENIDA DE MOYA KM. 53,300",SAN FERNANDO,L-D 06,2019-04-15 15:50:24.210899
11755,CEPSA MASPALOMAS,1.029,1.139,0.969,"CARRETERA C-812 KM. 56,8",MASPALOMAS,L-D 24H,2019-04-15 15:50:29.826439
11756,PCAN,1.029,1.139,0.969,"POLIGONO EL TABLERO, S/N",TABLERO (EL),L-D 06,2019-04-15 15:50:36.406223
11757,DISA,1.079,1.229,1.009,"CALLE NESTOR ALAMO, 13",SAN BARTOLOME TIRAJANA,L-D 07,2019-04-15 15:50:42.925866
11758,SHELL JUAN GRANDE,1.054,1.169,0.999,"AUTOVIA GC-1 KM. 34,6",SAN BARTOLOME TIRAJANA,L-D 24H,2019-04-15 15:50:47.878649
11759,CEPSA,0.979,1.119,0.933,CARRETERA C-812 KM. 42,SAN BARTOLOME TIRAJANA,L-D 24H,2019-04-15 15:50:52.941971
11760,CEPSA TAXISTAS S.AGUSTIN,1.029,1.139,0.969,"AVENIDA ALEJANDRO DEL CASTILLO, 1",SAN BARTOLOME TIRAJANA,L-D 24H,2019-04-15 15:51:02.962577
11761,DISA,1.137, ,1.099,"CALLE TAMARAN, 10",SAN BARTOLOME TIRAJANA,L-D 07,2019-04-15 15:51:12.078151
11762,BP EL VERIL,1.089,1.179,1.019,CARRETERA GRAL. DEL SUR KM. 52,SAN BARTOLOME TIRAJANA,L-D 24H,2019-04-15 15:51:17.986180
11763,SHELL MASPALOMAS,1.039,1.258,0.979,"CARRETERA CARRETERA GC-500 KM. 14,9",SAN BARTOLOME TIRAJANA,L-D 24H,2019-04-15 15:51:26.362506
11764,REPSOL,1.025,1.175,0.915,"CR FV-1, 2",PUERTO DEL ROSARIO,L-D 06,2019-04-15 15:51:33.007749
11765,REPSOL,1.025,1.125,0.915,"CALLE CASILLAS DEL ANGEL, 132",PUERTO DEL ROSARIO,L-D 06,2019-04-15 15:51:38.031197
11766,CEPSA PUERTO ROSARIO,1.026,1.184,0.919,"AVENIDA JUAN DE BETHENCOURT, 24",PUERTO DEL ROSARIO,L-S 07,2019-04-15 15:51:46.275543
11767,DISA EL CHARCO,1.023,1.268,0.927,"CALLE ALFONSO XIII, 65",PUERTO DEL ROSARIO,L-D 06,2019-04-15 15:51:53.186469
11768,DISA RIO CABRAS,1.023,1.268,0.927,"AUTOVIA PUERTO DEL ROSARIO-CALETA DE FUSTE KM. 3,5",PUERTO DEL ROSARIO,L-D 06,2019-04-15 15:51:58.712073
11769,DISA SECUNDINO ALONSO,1.023,1.268,0.927,"CALLE SECUNDINO ALONSO, 26",PUERTO DEL ROSARIO,L-D 06,2019-04-15 15:52:08.093698
